File: inputs/1.txt Threads: 1
Value: 751184   Time: 7310.44 ms
Value: 751184   Time: 7222.22 ms
Value: 751184   Time: 7377.88 ms
Value: 751184   Time: 7272.2 ms
Value: 751184   Time: 7262.68 ms
Average Execution Time: 7265.84 ms

File: inputs/5.txt Threads: 1
Value: 447002   Time: 24627.4 ms
Value: 447002   Time: 24606.1 ms
Value: 447002   Time: 24471.4 ms
Value: 447002   Time: 24955.9 ms
Value: 447002   Time: 24450.9 ms
Value: 447002   Time: 24650.8 ms
Value: 447002   Time: 24501.5 ms
Value: 447002   Time: 24464 ms
Value: 447002   Time: 24534.4 ms
Value: 447002   Time: 24453.3 ms
Average Execution Time: 24571.6 ms

File: inputs/5.txt Threads: 2
Value: 447002   Time: 14469.3 ms
Value: 447002   Time: 14292.4 ms
Value: 447002   Time: 14405.2 ms
Value: 447002   Time: 14578.2 ms
Value: 447002   Time: 14670.6 ms
Value: 447002   Time: 14270.2 ms
Value: 447002   Time: 14726.2 ms
Value: 447002   Time: 13669.8 ms
Value: 447002   Time: 13771.2 ms
Value: 447002   Time: 13687.1 ms
Average Execution Time: 14254 ms

File: inputs/5.txt Threads: 4
Value: 447002   Time: 8687.76 ms
Value: 447002   Time: 8849.85 ms
Value: 447002   Time: 8789.9 ms
Value: 447002   Time: 8543.88 ms
Value: 447002   Time: 8766.45 ms
Value: 447002   Time: 8894.99 ms
Value: 447002   Time: 8603.76 ms
Value: 447002   Time: 8586.06 ms
Value: 447002   Time: 8666.32 ms
Value: 447002   Time: 8874.95 ms
Average Execution Time: 8726.39 ms

File: inputs/5.txt Threads: 8
Value: 447002   Time: 7610.09 ms
Value: 447002   Time: 7607.46 ms
Value: 447002   Time: 7679.09 ms
Value: 447002   Time: 7725.55 ms
Value: 447002   Time: 7813.4 ms
Value: 447002   Time: 7673.16 ms
Value: 447002   Time: 7637.49 ms
Value: 447002   Time: 7519.74 ms
Value: 447002   Time: 7618.29 ms
Value: 447002   Time: 7807.94 ms
Average Execution Time: 7669.22 ms

File: inputs/5.txt Threads: 16
Value: 447002   Time: 7014.41 ms
Value: 447002   Time: 6988.78 ms
Value: 447002   Time: 7103.16 ms
Value: 447002   Time: 6962.46 ms
Value: 447002   Time: 7079.05 ms
Value: 447002   Time: 7046.86 ms
Value: 447002   Time: 6999.26 ms
Value: 447002   Time: 7092.35 ms
Value: 447002   Time: 7070.09 ms
Value: 447002   Time: 7052.09 ms
Average Execution Time: 7040.85 ms

